需求ID,能力,验收范围,当前依据,来源编号,用例ID,本轮验收状态,需求负责人,确认范围/差异,签收日期
R01,用户名邮箱认证,各角色登录及用户邮箱验证；找回撤销旧会话,已有认证实现和邮件记录,E02,"T01, T02, T03, T04",未执行,,,
R02,会话与错误恢复,单次恢复、身份代际保护；网络权限不误退出,实现及回归记录,E01/E02,"T05, T06",未执行,,,
R03,独立大师认证,大师端申请、退回补充、平台审核后开业务,隔离联调和已发布基线,E03,"T07, T08",未执行,,,
R04,寺院入驻,寺院端申请、机构授权、审核后绑定管理权,隔离联调和已发布基线,E03,T09,未执行,,,
R05,寺院纳管大师,本寺分配、大师端激活、停用恢复及历史保留,隔离联调和已发布基线,E03,"T10, T11",未执行,,,
R06,权限与后台归属,用户、寺院、大师、商城和超管对象隔离,源码、集成和管理迁移记录,E01/E03/E04,"T12, T13, T64",未执行,,,
R07,首页与供给发现,紧凑入口、八心愿、DIY 前置与组合筛选,Web 已发布；原生为本地对齐版,E01/E06,"T14, T15, T66",未执行,,,
R08,预约和沟通资格,时段与执行者明确；全院无伪会话；取消单独处理,已部署；受控与生产读取分开,E04,"T16, T17, T18, T19, T61, T62",未执行,,,
R09,服务执行主流程,接单待执行、开始执行、阶段记录与状态守卫,已部署并有本地集成浏览器证据,E04/E05,"T20, T21, T22",未执行,,,
R10,回执和信众确认,媒体授权、补充版本、用户确认和原子性,已部署；不提供区块链或事实保证,E04/E05,"T23, T24, T25, T26, T27, T28",未执行,,,
R11,集中进度与参与,首页及我的入口、可选心愿、档案、原单并存,H5 和寺院验证；原生完整业务待验,E05/E06,"T29, T30",未执行,,,
R12,私聊可靠性,资格、未读、重试、草稿和账号隔离,有实现；APNs 和公网通话未全验,E01/E06,"T31, T32",未执行,,,
R13,系统消息,分页、已读、删除、关联订单和独立统计,原生新增实现；真机读写待验,E06,T33,未执行,,,
R14,社区与发布,公开浏览、登录动作、图文视频审核和下架,已有实现与历史页面证据,E01,"T34, T35",未执行,,,
R15,AI 与报告,模型及图片能力、免费摘要、积分解锁与失败恢复,已有实现；真实内容质量逐项验收,E01,"T36, T37, T38, T63",未执行,,,
R16,DIY 创作,游客制作、登录承接、2D/3D、保存发布,Web 实现；原生登录恢复和性能待验,E01/E06,"T39, T40, T41",未执行,,,
R17,DIY 订单,服务端可用性、快照、制作加持、发货收货,模拟流程；完整自助售后未形成,E01,"T42, T43, T44",未执行,,,
R18,商城与售后,普通体验分单、库存订单、售后状态,模拟渠道；真实退款物流待验,E01,"T45, T46, T59, T60",未执行,,,
R19,积分账户与兑换,按净实付计分、兑换取消、流水幂等,已有实现与受控验证；非现金钱包,E01,"T47, T48",未执行,,,
R20,积分活动,明示扣分、每期一次、冻结规则和领奖,已有实现与受控验证；非免费抽奖,E01,"T49, T50",未执行,,,
R21,视觉交互与无障碍,浅深主题、紧凑布局、弹层、减少动效,局部浏览器与原生测试；全设备待验,E01/E05/E06,"T51, T52, T53",未执行,,,
R22,外部能力与发布质量,真机、推送通话、真实支付、恢复及性能,当前部分未验收，逐项依赖放行,E01/E06,"T54, T55, T56, T57, T58, T65",未执行,,,
