用例ID,需求ID,优先级,适用端,前置条件,操作步骤,预期结果,所需证据,执行端,环境/版本,执行人,日期,实际结果,结论,证据位置,缺陷ID,复验结果
T01,R01,P0,所有登录端,对应域有效账号、可读图片验证码,分别用用户名、邮箱登录；退出后重复；记录当前身份和目的页,两种标识进入同一业务身份；退出后受保护页要求重新登录；不跨身份域,登录前后页面、脱敏身份与会话退出结果,,,,,,未执行,,,
T02,R01,P0,所有登录端,有效账号，错误密码和已过期图片码,分别提交错误密码、错误图片码、刷新前旧图片码；再用新码正确登录,错误留在表单且提示可理解；不建立错误会话；更新验证码后可继续,三类错误提示和正确登录结果,,,,,,未执行,,,
T03,R01,P0,信众 H5 / iOS,专用可收信邮箱；新的用户名,请求注册邮件；用错码提交；使用正确码完成；再重用同一码,邮箱校验失败不注册；正确一次成功；旧码不可复用；邮箱和用户名可登录,邮件用途与接收时间、注册结果；验证码脱敏,,,,,,未执行,,,
T04,R01,P0,各域找回入口,已绑定邮箱且有两个旧会话,执行找回设置新密码；尝试旧密码、旧会话和新密码登录,新密码可登录；旧密码及旧会话失效；不能重置其他身份域的账号,会话 A/B 结果与角色，无令牌正文,,,,,,未执行,,,
T05,R02,P0,H5 / 两 iOS / 两后台,可控制到期的隔离会话,使 access 凭据到期并发读两页；完成新登录后放回旧请求响应,共享续期或一次明确失效处理；迟到响应不能登出新账号；不反复跳页,请求时序、身份版本和最终页面,,,,,,未执行,,,
T06,R02,P0,H5 / 两 iOS / 两后台,有效会话、代理断网条件,分别断网、返回业务 403、恢复网络；重新读原记录,网络和权限错误不清有效会话；恢复后可重试；无权页不泄露数据,错误类别、重试结果和身份状态,,,,,,未执行,,,
T07,R03,P0,大师 H5 / 平台后台,未注册独立申请人及审核人,大师入口注册；提交资料；审核前访问工作台；平台通过后重新进入,未通过不可接单；通过后获得独立大师身份；可查审核结果,申请号、审核轨迹、工作台权限,,,,,,未执行,,,
T08,R03,P1,大师 H5 / 平台后台,待审独立申请,退回并填写原因；申请人补充再提交；审核人查看版本,退回原因可见；修改可提交；未通过前不能取得业务权限,申请前后状态、补充内容与结果,,,,,,未执行,,,
T09,R04,P0,寺院后台 / 平台后台,新的机构经办人、受控机构材料,在寺院入口注册提交；待审尝试管理服务；通过后维护本寺资料,申请和业务身份分离；通过后绑定正确寺院；不能管理其他寺院,申请号、寺院归属与展示结果,,,,,,未执行,,,
T10,R05,P0,寺院后台 / 大师端,寺院 A 管理员及可收信纳管邮箱,建本寺大师档案并分配；大师入口验证邮箱设置密码；登录,激活后进入大师工作台且归属寺院 A；不会变成独立认证大师,档案号、激活结果、MasterID 和归属,,,,,,未执行,,,
T11,R05,P0,寺院后台 / 大师端,纳管大师 A 已激活,寺院停用该账号；尝试旧会话操作；恢复账号后按提示重登,停用不能继续业务；恢复遵循当前会话规则；原历史订单保留,停用前后授权结果和历史记录,,,,,,未执行,,,
T12,R06,P0,寺院 / 大师 / 平台 API,寺院 A/B、独立大师 I 和普通用户,以 A 请求 B 的大师和订单；以 A 管理 I；普通用户访问后台接口,均拒绝或不返回对象；数据库无越权变更；不能靠猜 ID 读取材料,脱敏请求、响应、只读数据对比,,,,,,未执行,,,
T13,R06,P0,统一后台 / 旧商城入口,商城权限账号、平台账号分开浏览器,商城账号访问平台消息等超管接口；平台登录后开旧商城深链,越权被拒；合法迁移保留路径、查询和角色；不切换成其他账号,角色、目标 URL、权限错误,,,,,,未执行,,,
T14,R07,P1,信众 H5 / iOS,至少两流派和多价格供给,按名称搜索；组合流派与价格或服务；搜索不存在词后清除,结果符合组合；空结果可恢复；同一流派条件无重复侧栏,输入、返回记录及清除结果,,,,,,未执行,,,
T15,R07,P1,信众 H5 / iOS,320/390 宽度或等效设备,查看首页八项心愿并依次点选；进入 DIY；上下滚动后返回,八项无需横滑；图标和名称对应；DIY 前置且目的地正确；不反复入场,全屏截图、入口目标与溢出检查,,,,,,未执行,,,
T16,R08,P0,信众 / 寺院,受控寺院全院服务、未来时段,选择全院执行和时段；核价提交并模拟支付；刷新订单及私聊,有有效预约号且待确认；没有空头像空名称私聊；未读数量不含此伪会话,预约号、订单状态、会话及计数,,,,,,未执行,,,
T17,R08,P0,信众 / 大师,具体大师可约服务,预约该大师并按环境完成模拟支付；进入合资格会话,订单指向正确大师；沟通资格以订单及状态判断；无资格有明确返回入口,MasterID、订单号与会话资格,,,,,,未执行,,,
T18,R08,P0,信众 H5 / iOS,时段容量为 1，两个受控用户,两用户同时提交相同最后名额；重试原请求；刷新容量,不能超卖；重复请求不重复创建或占用；冲突提示后可另选,订单数、容量前后与并发响应,,,,,,未执行,,,
T19,R08,P1,信众 / 寺院 / 大师,可取消阶段预约和已有排期,用户取消；检查容量；另将执行方设休息日并检查已有预约,合法取消释放对应容量；休息日不静默取消旧单；退款状态单独显示,状态、容量和款项处理记录,,,,,,未执行,,,
T20,R09,P0,寺院 / 大师 / 信众,待确认订单分别归属两类执行方,接单；信众刷新；开始执行；刷新原详情和集中页,接单为待执行，开始为执行中；两入口一致；未提交回执不能显示完成,每次状态及时间线、操作者,,,,,,未执行,,,
T21,R09,P0,寺院 / 大师 API,各状态订单夹具,待确认直接提交最终回执；待执行直接完成；执行方尝试替信众确认,非法跳转被拒；无额外状态日志或完成事件；对象数据不变,请求矩阵、响应和事件条数,,,,,,未执行,,,
T22,R09,P0,寺院 / 大师,执行中订单和受控媒体,发布说明与图片阶段记录；刷新信众页面；在另一端读取,同一订单显示作者、时间和说明；媒体可打开；阶段记录不等于最终完成,记录 ID、图像可读、两端状态,,,,,,未执行,,,
T23,R10,P0,寺院 / 大师 / 信众,执行中订单，合规 PNG 和 MP4,上传图片视频并提交最终说明；用户实际打开图片、播放视频,变待确认回执；图像实际解码、视频可播放；媒体非占位或 HTML 错误页,文件类型、尺寸或播放状态、版本号,,,,,,未执行,,,
T24,R10,P0,信众 / 执行方,待确认回执版本 v1,信众要求补充并填原因；执行方补充提交 v2；用户查看历史,回到执行处理后再待确认；v1 不被覆盖；补充原因、v2 和顺序可查,两版回执和完整状态轨迹,,,,,,未执行,,,
